"Name","Funding","City","Time of Techstar"
"ProtoExchange","$110,000","Austin","2013 Fall"
"proximus","$120,000","London","2014 Spring"
"Psykosoft","$810,000","Boston","2012 Spring"
"Pubble","$120,000","London","2014 Spring"
"QoL","$120,000","R/GA",2012
"Qualia","$120,000","R/GA",2012
"QuanTemplate","$1,370,000","London","2013 Fall"
"Qunb","$10,000","Boston","2013 Spring"
"QuotaDeck","$510,000","Boulder","2014 Summer"
"Rallyware","$110,000","Boston","2013 Spring"
"Ranku","$370,000","Kaplan",2013
"Rapt Media","$6,280,000","Boulder","2011 Summer"
"Realty Mogul","$10,000,000","Microsoft Azure",2012
"Red Rover","$560,000","NYC","2011 Winter"
"Refresh","$610,000","Boston","2014 Winter"
"reKode Education","$170,000","Kaplan",2014
"Remitly","$9,880,000","Seattle","2011 Fall"
"RentMatch","$10,000","Seattle","2010 Fall"
"RentMonitor","$10,000","Boulder","2010 Summer"
"ReplySend","$110,000","Boulder","2012 Summer"
"ResolutionTube","$1,530,000","Seattle","2013 Fall"
"ReTel Technologies","$1,010,000","Boulder","2009 Summer"
"Reveal","$2,030,000","Seattle","2011 Fall"
"Revolv","$7,370,000","Boulder","2012 Summer"
"RewardsForce","$210,000","Seattle","2010 Fall"
"Rewind Me","$1,210,000","NYC","2012 Summer"
"Rezora","$10,000","Boulder","2009 Summer"
"RightPlay","$350,000","NYC","2011 Winter"
"ringblingz","$120,000","R/GA",2012
"Rise Robotics","$110,000","Boston","2012 Fall"
"Rival Theory","$210,000","NYC","2014 Spring"
"RobotsLAB","$20,000","Kaplan",2014
"ROCKI","$110,000","Boston","2014 Fall"
"RollSale","$110,000","Boulder","2012 Summer"
"Romotive","$6,510,000","Seattle","2011 Fall"
"RoundPegg","$4,490,000","Boulder","2010 Summer"
"Roximity","$2,010,000","Boulder","2012 Summer"
"SalesLoft","$1,060,000","Boulder","2012 Summer"
"Sandglaz","$610,000","Seattle","2012 Fall"
"ScriptPad","$10,000","Boulder","2010 Summer"
"Search to Phone","$10,000","Boulder","2007 Summer"
"SendGrid","$48,080,000","Boulder","2009 Summer"
"Senexx","$260,000","Boston","2011 Spring"
"Sensobi","$10,000","Boston","2009 Spring"
"Sewingly","$110,000","Boulder","2012 Summer"
"Shareable Social","$110,000","Boulder","2014 Summer"
"Shelby.tv","$4,010,000","NYC","2011 Winter"
"Shippable","$10,060,000","Seattle","2013 Fall"
"Shopsy","$110,000","Boston","2012 Spring"
"Shopventory","$1,110,000","Boulder","2013 Summer"
"ShortCut","$980,000","London","2014 Spring"
"ShuttleCloud","$1,040,000","NYC","2011 Winter"
"Sickweather","$460,000","Sprint",2014
"Sidelines","$120,000","Disney",2014
"SideTour","$4,010,000","NYC","2011 Summer"
"Simple Energy","$9,000,000","Boulder","2011 Summer"
"SimpleRelevance","$1,300,000","Chicago","2013 Spring"
"Simply Good","$1,010,000","Boston","2012 Spring"
"SketchFab","$1,910,000","NYC","2013 Spring"
"Skilljar","$1,110,000","Seattle","2013 Fall"
"SmallKnot","$110,000","NYC","2012 Summer"
"Smart Host","$110,000","Austin","2014 Summer"
"Smart Toy","$2,220,000","Boulder","2012 Summer"
"Smarton Learning Solutions","$170,000","Kaplan",2014
"Smile Family","$20,000","London","2014 Spring"
"Smore","$710,000","Seattle","2011 Fall"
"SnapEngage","$10,000","Boulder","2009 Summer"
"SnowShoe","$2,210,000","Boulder","2013 Summer"
"Socedo","$20,000","Microsoft Azure",2012
"SocialCrunch","$110,000","Chicago","2013 Spring"
"SocialEngine","$10,000","Boulder","2011 Summer"
"SocialSci","$1,010,000","Boston","2010 Spring"
"SocialSign.in","$110,000","NYC","2014 Spring"
"Socialthing","#N/A","#N/A","#N/A"
"SparkCloud","$0","Boston","2010 Spring"
"Sparktrend","$110,000","Seattle","2013 Fall"
"Spatch","$3,710,000","London","2014 Spring"
"Spill","$1,030,000","Boston","2011 Spring"
"Spitfire Athlete","$110,000","Boston","2014 Fall"
"Spontaneously","$760,000","NYC","2011 Summer"
"Sportsy","$510,000","Boulder","2014 Summer"
"SpotRight","$4,500,000","Boulder","2010 Summer"
"Sprout Wellness Solutions","$550,000","Nike+ Accelerator",2013
"Spry","$10,000","Boulder","2009 Summer"
"Sqord","$930,000","Chicago","2013 Spring"
"Squirrel","$20,000","Barclays",2014
"Stand In","$110,000","Seattle","2014 Fall"
"Standard Analytics","$210,000","NYC","2014 Spring"
"Staq","$20,000","Microsoft Azure",2012
"StarStreet","$1,460,000","Boston","2010 Spring"
"StatsMix","$10,000","Boulder","2010 Summer"
"StepOut","$6,420,000","Bouler","2008 Summer"
"Story To College","$20,000","Kaplan",2014
"Storytime Studios","$610,000","Cloud","2013 Winter"
"Streamline","$110,000","Seattle","2014 Fall"
"Streamroot","$110,000","Boston","2014 Fall"
"Strohl Medical Technologies","$310,000","Boston","2011 Spring"
"Styku","$910,000","Microsoft Kinect",2012
"Sundar","$110,000","Boston","2014 Winter"
"Symptom.ly","$120,000","Sprint",2014
"Synack","$9,210,000","Boston","2013 Spring"
"Synch","$20,000","Microsoft Azure",2013
